airport,iata
"Sabadell Airport","QSA"
"Lleida-Alguaire Airport","ILD"
"Huesca/Pirineos Airport","HSK"
"Ciudad Real Central Airport","CQM"
"Cuatro Vientos Airport","ECV"
"Castellón-Costa Azahar Airport","CDT"
"Teruel Airport","TEV"
"Algeciras Heliport","AEI"
"Región de Murcia International Airport","RMU"
"Ronneby Airport","RNB"
"Gothenburg-Landvetter Airport","GOT"
"Jönköping Airport","JKG"
"Lidköping-Hovby Airport","LDK"
"Gothenburg City Airport","GSE"
"Skövde Airport","KVB"
"Trollhättan-Vänersborg Airport","THN"
"Karlskoga Airport","KSK"
"Mora Airport","MXX"
"Stockholm Skavsta Airport","NYO"
"Kristianstad Airport","KID"
"Oskarshamn Airport","OSK"
"Kalmar Airport","KLR"
"Malmö Sturup Airport","MMX"
"Halmstad Airport","HAD"
"Växjö Kronoberg Airport","VXO"
"Sveg Airport","EVG"
"Gällivare Airport","GEV"
"Hudiksvall Airport","HUV"
"Kramfors Sollefteå Airport","KRF"
"Lycksele Airport","LYC"
"Sundsvall-Härnösand Airport","SDL"
"Örnsköldsvik Airport","OER"
"Kiruna Airport","KRN"
"Skellefteå Airport","SFT"
"Umeå Airport","UME"
"Vilhelmina Airport","VHM"
"Arvidsjaur Airport","AJR"
"Örebro Airport","ORB"
"Stockholm Västerås Airport","VST"
"Luleå Airport","LLA"
"Stockholm-Arlanda Airport","ARN"
"Stockholm-Bromma Airport","BMA"
"Borlange Airport","BLE"
"Hultsfred Airport","HLF"
"Gävle Sandviken Airport","GVX"
"Linköping City Airport","LPI"
"Norrköping Airport","NRK"
"Eskilstuna Airport","EKT"
"Visby Airport","VBY"
"Åre Östersund Airport","OSD"
"Hagfors Airport","HFS"
"Karlstad Airport","KSD"
"Torsby Airport","TYF"
"Ängelholm-Helsingborg Airport","AGH"
"Storuman Airport","SQO"
"Hemavan Airport","HMV"
"Pajala Airport","PJA"
"Söderhamn Airport","SOO"
"Geneva Cointrin International Airport","GVA"
"Sion Airport","SIR"
"Emmen Air Base","EML"
"Lugano Airport","LUG"
"Bern Belp Airport","BRN"
"Grenchen Airport","ZHI"
"Zürich Airport","ZRH"
"St Gallen Altenrhein Airport","ACH"
"Samedan Airport","SMV"
"Lausanne-Blécherette Airport","QLS"
"Locarno Airport","ZJI"
"Neuchatel Airport","QNC"
"Interlaken Air Base","ZIN"
"Buochs Airport","BXO"
"Belfast International Airport","BFS"
"St Angelo Airport","ENK"
"George Best Belfast City Airport","BHD"
"City of Derry Airport","LDY"
"Birmingham International Airport","BHX"
"Coventry Airport","CVT"
"Gloucestershire Airport","GLO"
"Cotswold Airport","GBA"
"Manchester Airport","MAN"
"Newquay Cornwall Airport","NQY"
"RAF Lyneham","LYE"
"RNAS Yeovilton","YEO"
"Haverfordwest Airport","HAW"
"Cardiff International Airport","CWL"
"Swansea Airport","SWS"
"Bristol Airport","BRS"
"Liverpool John Lennon Airport","LPL"
"London Luton Airport","LTN"
